wallet_id,block_number,token_symbol,value,to_address,from_address
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16535886,DAI,10000.0,0xa77c88abcaa770c54a6cfbfd0c586a475537bbc1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16531355,Web3Antivirus,1.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x0000000000000000000000000000000000000000
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16531204,DAI,0.0,0x0059c60e6b3de65f11cfd51c61d32feadf13de54,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16531199,DAI,0.0,0x0059eb114bf747fe79a62a872732aa071795de54,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16531191,DAI,0.0,0x005b6e93c7276c05309f2593e09d46573cf5de54,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16531186,DAI,12000.0,0x00561d5ff7fb12d4ce537f316161feecf9f5de54,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16488143,USDC,0.0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0x6796e71cc3b0a540a593b71f98da1e0d7e189506
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16488143,USDC,0.0,0x6796e71cc3b0a540a593b71f98da1e0d7e189506,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487467,USDC,5999.677938,0x6797991e463aa6674278b0002e0d1bff31e89506,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487443,USDC,5999.677938,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487443,DAI,6000.0,0xa77c88abcaa770c54a6cfbfd0c586a475537bbc1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487426,USDC,9990.416666,0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487354,USDC,9990.416666,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0xa88800cd213da5ae406ce248380802bd53b47647
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,16487354,DAI,10000.0,0xa77c88abcaa770c54a6cfbfd0c586a475537bbc1,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
